LastName,FirstName,FullName,EmpID,MarriedID,FromDiversityJobFairID,Salary,Termd,Position,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Buccheri, Joseph  , Joseph   Buccheri,10184,0,0,65288,0,Production Technician II,1013,28-07-1983,Male ,3,US Citizen,No,5,29-09-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Webster Butler,0,3,Fully Meets,3.19,3,0,01-02-2019,0,9
Bugali, Josephine , Josephine  Bugali,10203,0,1,64375,0,Production Technician I,2043,30-10-1969,Female,2,US Citizen,No,2,11-11-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Kissy Sullivan,20,1,Fully Meets,3.5,5,0,21-01-2019,0,17
Bunbury, Jessica, Jessica Bunbury,10188,1,0,74326,1,Area Sales Manager,21851,01-06-1964,Female,1,Eligible NonCitizen,No,2,15-08-2011,02-08-2014,Another position,2,Sales,John Smith,17,3,Fully Meets,3.14,5,0,10-02-2013,1,19
Burke, Joelle, Joelle Burke,10107,0,0,63763,0,Production Technician II,2148,02-03-1980,Female,3,US Citizen,No,2,05-03-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Amy Dunn,11,2,Fully Meets,4.51,4,0,21-02-2019,0,3
Burkett, Benjamin , Benjamin  Burkett,10181,1,0,62162,0,Production Technician II,1890,19-08-1977,Male ,1,US Citizen,No,5,04-04-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,4,Fully Meets,3.25,5,0,14-01-2019,0,15
Cady, Max , Max  Cady,10150,0,0,77692,0,Software Engineering Manager,2184,22-11-1966,Male ,3,US Citizen,No,5,15-08-2011,27-07-2024,N/A-StillEmployed,0,Software Engineering,Jennifer Zamora,5,3,Fully Meets,3.84,3,5,21-01-2019,0,4
Candie, Calvin, Calvin Candie,10001,0,0,72640,0,Production Manager,2169,09-08-1983,Male ,3,US Citizen,No,5,28-01-2016,27-07-2024,N/A-StillEmployed,0,Production       ,Janet King,2,4,Exceeds,5,3,0,22-02-2019,0,14
Carabbio, Judith, Judith Carabbio,10085,0,0,93396,0,Software Engineer,2132,05-04-1987,Female,3,US Citizen,No,5,11-11-2013,27-07-2024,N/A-StillEmployed,0,Software Engineering,Alex Sweetwater,10,4,Fully Meets,4.96,4,6,30-01-2019,0,3
Carey, Michael  , Michael   Carey,10115,0,0,52846,0,Production Technician I,1701,02-02-1983,Male ,3,US Citizen,No,2,31-03-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,5,Fully Meets,4.43,3,0,01-02-2019,0,14
Carr, Claudia  N, Claudia  N Carr,10082,0,0,100031,0,Sr. DBA,1886,06-06-1986,Female,3,US Citizen,No,2,30-06-2016,27-07-2024,N/A-StillEmployed,0,IT/IS,Simon Roup,4,5,Fully Meets,5,5,6,18-02-2019,0,7
Carter, Michelle , Michelle  Carter,10040,0,0,71860,0,Area Sales Manager,5664,15-05-1963,Female,3,US Citizen,No,5,18-08-2014,27-07-2024,N/A-StillEmployed,0,Sales,John Smith,17,4,Fully Meets,5,5,0,21-01-2019,0,7
Chace, Beatrice , Beatrice  Chace,10067,0,0,61656,0,Production Technician I,2763,02-01-1951,Female,3,US Citizen,No,5,29-09-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,3,Fully Meets,5,4,0,12-02-2019,0,11
Champaigne, Brian, Brian Champaigne,10108,1,0,110929,0,BI Director,2045,09-02-1972,Male ,1,US Citizen,No,5,06-09-2016,27-07-2024,N/A-StillEmployed,0,IT/IS,Jennifer Zamora,5,4,Fully Meets,4.5,5,7,15-01-2019,0,8
Chan, Lin, Lin Chan,10210,0,0,54237,0,Production Technician I,2170,12-02-1979,Female,3,US Citizen,No,5,12-05-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Elijiah Gray,16,4,Fully Meets,3.3,4,0,19-02-2019,0,11
Chang, Donovan  E, Donovan  E Chang,10154,0,0,60380,0,Production Technician I,1845,24-08-1983,Male ,3,US Citizen,No,5,08-07-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Webster Butler,0,5,Fully Meets,3.8,5,0,14-01-2019,0,4
Chigurh, Anton, Anton Chigurh,10200,0,0,66808,0,Area Sales Manager,78207,11-06-1970,Male ,3,Eligible NonCitizen,No,2,14-05-2012,27-07-2024,N/A-StillEmployed,0,Sales,Lynn Daneault,21,2,Fully Meets,3,5,0,19-01-2019,0,17
Chivukula, Enola, Enola Chivukula,10240,0,0,64786,1,Production Technician I,1775,27-08-1983,Female,3,US Citizen,No,5,27-06-2011,15-11-2015,relocation out of area,2,Production       ,Amy Dunn,11,4,Fully Meets,4.3,4,0,10-03-2015,0,3
Cierpiszewski, Caroline  , Caroline   Cierpiszewski,10168,0,0,64816,0,Production Technician I,2044,31-05-1988,Female,3,Non-Citizen,No,2,03-10-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,4,Fully Meets,3.58,5,0,30-01-2019,0,3
Clayton, Rick, Rick Clayton,10220,0,0,68678,0,IT Support,2170,05-09-1985,Male ,3,US Citizen,No,5,05-09-2012,27-07-2024,N/A-StillEmployed,0,IT/IS,Eric Dougall,6,4,Fully Meets,4.7,3,6,27-02-2019,0,2
Cloninger, Jennifer, Jennifer Cloninger,10275,1,0,64066,1,Production Technician II,1752,31-08-1981,Female,1,US Citizen,No,5,16-05-2011,07-01-2013,unhappy,2,Production       ,Brannon Miller,12,3,Fully Meets,4.2,5,0,03-05-2012,0,9
Close, Phil, Phil Close,10269,1,0,59369,1,Production Technician II,2169,25-11-1978,Male ,1,US Citizen,No,5,30-08-2010,26-09-2011,career change,2,Production       ,David Stanley,14,4,Fully Meets,4.2,4,0,04-05-2011,0,6
Clukey, Elijian, Elijian Clukey,10029,1,0,50373,0,Production Technician I,2134,26-08-1980,Male ,1,US Citizen,No,5,06-07-2016,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,2,Exceeds,4.1,4,0,28-02-2019,0,5
Cockel, James, James Cockel,10261,0,0,63108,0,Production Technician I,2452,08-09-1977,Male ,3,US Citizen,No,5,08-07-2013,27-07-2024,N/A-StillEmployed,0,Production       ,David Stanley,14,2,Fully Meets,4.4,5,0,14-01-2019,0,3
Cole, Spencer, Spencer Cole,10292,0,0,59144,1,Production Technician I,1880,12-08-1979,Male ,3,US Citizen,No,2,11-07-2011,23-09-2016,performance,1,Production       ,Kissy Sullivan,20,5,Needs Improvement,2,3,0,01-05-2016,5,16
Corleone, Michael, Michael Corleone,10282,0,0,68051,0,Production Manager,1803,17-12-1975,Male ,0,US Citizen,No,5,20-07-2010,27-07-2024,N/A-StillEmployed,0,Production       ,Janet King,2,0,Needs Improvement,4.13,2,0,14-01-2019,3,3
Corleone, Vito, Vito Corleone,10019,0,0,170500,0,Director of Operations,2030,19-03-1983,Male ,3,US Citizen,No,2,05-01-2009,27-07-2024,N/A-StillEmployed,0,Production       ,Janet King,2,4,Exceeds,3.7,5,0,04-02-2019,0,15
Cornett, Lisa , Lisa  Cornett,10094,1,0,63381,0,Production Technician I,2189,31-03-1977,Female,1,US Citizen,Yes,5,05-01-2015,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,4,Fully Meets,4.73,5,0,14-02-2019,0,6
Costello, Frank, Frank Costello,10193,1,0,83552,0,Data Analyst,1810,26-08-1986,Male ,1,US Citizen,No,5,30-03-2015,27-07-2024,N/A-StillEmployed,0,IT/IS,Simon Roup,4,4,Fully Meets,3.04,3,6,22-01-2019,0,2
Crimmings,   Jean,   Jean Crimmings,10132,0,0,56149,0,Production Technician I,1821,10-04-1987,Female,3,US Citizen,No,5,06-07-2016,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,5,Fully Meets,4.12,5,0,28-01-2019,0,15
Cross, Noah, Noah Cross,10083,0,0,92329,0,Sr. Network Engineer,6278,09-09-1965,Male ,3,US Citizen,No,5,10-11-2014,27-07-2024,N/A-StillEmployed,0,IT/IS,Peter Monroe,7,2,Fully Meets,5,3,4,02-01-2019,0,5
Daneault, Lynn, Lynn Daneault,10099,0,0,65729,0,Sales Manager,5473,19-04-1990,Female,3,US Citizen,No,5,05-05-2014,27-07-2024,N/A-StillEmployed,0,Sales,Debra Houlihan,15,4,Fully Meets,4.62,4,0,24-01-2019,0,8
Daniele, Ann  , Ann   Daniele,10212,1,0,85028,0,Sr. Network Engineer,6033,18-01-1952,Female,1,US Citizen,No,5,10-11-2014,27-07-2024,N/A-StillEmployed,0,IT/IS,Peter Monroe,7,5,Fully Meets,3.1,5,8,12-02-2019,0,19
Darson, Jene'ya , Jene'ya  Darson,10056,1,0,57583,0,Production Technician I,2110,05-11-1978,Female,1,US Citizen,No,5,02-07-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Elijiah Gray,16,4,Fully Meets,5,3,0,25-02-2019,0,1
Davis, Daniel, Daniel Davis,10143,0,0,56294,0,Production Technician II,2458,14-09-1979,Male ,3,Eligible NonCitizen,No,4,07-11-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Kissy Sullivan,20,5,Fully Meets,3.96,4,0,27-02-2019,0,6
Dee, Randy, Randy Dee,10311,1,0,56991,0,Production Technician I,2138,15-04-1988,Male ,1,US Citizen,No,5,09-07-2018,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,4,Fully Meets,4.3,4,3,31-01-2019,2,2
DeGweck,  James,  James DeGweck,10070,1,0,55722,1,Production Technician I,1810,31-10-1977,Male ,1,US Citizen,No,5,16-05-2011,08-06-2016,unhappy,2,Production       ,Webster Butler,39,4,Fully Meets,5,4,0,02-04-2016,0,14
Del Bosque, Keyla, Keyla Del Bosque,10155,0,0,101199,0,Software Engineer,2176,05-07-1979,Female,3,US Citizen,No,2,09-01-2012,27-07-2024,N/A-StillEmployed,0,Software Engineering,Alex Sweetwater,10,0,Fully Meets,3.79,5,5,25-01-2019,0,8
Delarge, Alex, Alex Delarge,10306,0,0,61568,0,Area Sales Manager,36006,02-11-1975,Male ,3,US Citizen,No,4,29-09-2014,27-07-2024,N/A-StillEmployed,0,Sales,John Smith,17,4,PIP,1.93,3,0,30-01-2019,6,5
Demita, Carla, Carla Demita,10100,0,0,58275,1,Production Technician II,2343,25-02-1951,Female,2,US Citizen,No,2,04-04-2011,04-11-2015,more money,2,Production       ,Kelley Spirea,18,3,Fully Meets,4.62,5,0,06-05-2015,0,1
Desimone, Carl , Carl  Desimone,10310,1,0,53189,0,Production Technician I,2061,19-04-1967,Male ,1,US Citizen,No,5,07-07-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Amy Dunn,11,4,PIP,1.12,2,0,31-01-2019,4,9
DeVito, Tommy, Tommy DeVito,10197,0,0,96820,0,BI Developer,2045,04-09-1983,Male ,3,US Citizen,No,5,15-02-2017,27-07-2024,N/A-StillEmployed,0,IT/IS,Brian Champaigne,13,4,Fully Meets,3.01,5,7,23-01-2019,0,15
Dickinson, Geoff , Geoff  Dickinson,10276,0,0,51259,0,Production Technician I,2180,15-11-1982,Male ,3,US Citizen,No,5,12-05-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,4,Fully Meets,4.3,4,0,19-02-2019,0,1
Dietrich, Jenna  , Jenna   Dietrich,10304,0,0,59231,0,Area Sales Manager,98052,14-05-1987,Female,3,US Citizen,Yes,5,20-02-2012,27-07-2024,N/A-StillEmployed,0,Sales,John Smith,17,8,PIP,2.3,1,0,29-01-2019,2,17
DiNocco, Lily , Lily  DiNocco,10284,1,0,61584,0,Production Technician I,2351,02-12-1978,Female,1,US Citizen,No,2,07-01-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,4,Needs Improvement,3.88,4,0,18-01-2019,0,6
Dobrin, Denisa  S, Denisa  S Dobrin,10207,0,0,46335,0,Production Technician I,2125,07-10-1986,Female,3,US Citizen,Yes,5,02-04-2012,27-07-2024,N/A-StillEmployed,0,Production       ,David Stanley,14,0,Fully Meets,3.4,5,0,19-02-2019,0,15
Dolan, Linda, Linda Dolan,10133,1,0,70621,0,IT Support,2119,18-07-1988,Female,1,US Citizen,No,5,05-01-2015,27-07-2024,N/A-StillEmployed,0,IT/IS,Peter Monroe,7,2,Fully Meets,4.11,4,6,25-02-2019,0,16
Dougall, Eric, Eric Dougall,10028,0,0,138888,0,IT Manager - Support,1886,09-07-1970,Male ,3,US Citizen,No,2,05-01-2014,27-07-2024,N/A-StillEmployed,0,IT/IS,Jennifer Zamora,5,4,Exceeds,4.3,5,5,04-01-2019,0,4
Driver, Elle, Elle Driver,10006,0,0,74241,0,Area Sales Manager,90007,08-11-1988,Female,3,US Citizen,No,5,10-01-2011,27-07-2024,N/A-StillEmployed,0,Sales,Lynn Daneault,21,4,Exceeds,4.77,5,0,27-01-2019,0,14
Dunn, Amy  , Amy   Dunn,10105,0,0,75188,0,Production Manager,1731,28-11-1973,Female,3,US Citizen,No,5,18-09-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Janet King,2,3,Fully Meets,4.52,4,0,15-01-2019,0,4
Dunne, Amy, Amy Dunne,10211,1,0,62514,0,Production Technician I,1749,23-09-1973,Female,1,US Citizen,No,5,26-04-2010,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,3,Fully Meets,2.9,3,0,21-01-2019,0,6
Eaton, Marianne, Marianne Eaton,10064,1,0,60070,1,Production Technician I,2343,05-09-1991,Female,1,US Citizen,No,5,04-04-2011,06-06-2017,military,2,Production       ,Kissy Sullivan,20,3,Fully Meets,5,3,0,09-04-2017,0,7
Engdahl, Jean, Jean Engdahl,10247,0,0,48888,0,Production Technician I,2026,31-05-1974,Male ,3,US Citizen,No,5,10-11-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,5,Fully Meets,4.7,5,0,13-02-2019,0,8
England, Rex, Rex England,10235,1,0,54285,0,Production Technician I,2045,25-08-1978,Male ,1,US Citizen,No,5,31-03-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,2,Fully Meets,4.2,3,0,11-01-2019,0,3
Erilus, Angela, Angela Erilus,10299,0,0,56847,0,Production Technician II,2133,25-08-1989,Female,2,US Citizen,No,5,07-07-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,4,PIP,3,1,0,25-02-2019,2,5
Estremera, Miguel, Miguel Estremera,10280,0,0,60340,1,Production Technician I,2129,02-09-1983,Male ,3,US Citizen,No,5,02-04-2012,27-09-2018,attendance,1,Production       ,Michael Albert,22,3,Needs Improvement,5,4,0,12-04-2018,5,16
Evensen, April, April Evensen,10296,0,0,59124,1,Production Technician I,2458,06-05-1989,Female,3,US Citizen,No,5,17-02-2014,25-02-2018,"no-call, no-show",1,Production       ,Elijiah Gray,16,3,Needs Improvement,2.3,3,0,15-01-2017,5,19
Exantus, Susan, Susan Exantus,10290,1,0,99280,1,Software Engineer,1749,15-05-1987,Female,1,US Citizen,No,2,02-05-2011,05-06-2013,attendance,1,Software Engineering,Alex Sweetwater,10,4,Needs Improvement,2.1,5,4,10-08-2012,4,19
Faller, Megan , Megan  Faller,10263,1,0,71776,0,Production Technician II,1824,22-09-1978,Female,1,US Citizen,No,2,07-07-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Elijiah Gray,16,5,Fully Meets,4.4,5,0,22-02-2019,0,17
Fancett, Nicole, Nicole Fancett,10136,0,0,65902,0,Production Technician II,2324,27-09-1987,Female,3,US Citizen,No,2,17-02-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Webster Butler,0,5,Fully Meets,4,4,0,07-01-2019,0,7
Ferguson, Susan, Susan Ferguson,10189,1,0,57748,1,Production Technician I,2176,14-04-1955,Female,1,US Citizen,No,5,07-11-2011,17-05-2016,military,2,Production       ,Webster Butler,39,3,Fully Meets,3.13,3,0,04-02-2016,0,16
Fernandes, Nilson  , Nilson   Fernandes,10308,1,0,64057,0,Production Technician I,2132,18-10-1989,Male ,1,US Citizen,No,5,11-05-2015,27-07-2024,N/A-StillEmployed,0,Production       ,Amy Dunn,11,4,PIP,1.56,5,0,03-01-2019,6,15
Fett, Boba, Boba Fett,10309,0,0,53366,0,Network Engineer,2138,18-06-1987,Male ,3,US Citizen,No,5,30-03-2015,27-07-2024,N/A-StillEmployed,0,IT/IS,Peter Monroe,7,5,PIP,1.2,3,6,04-02-2019,3,2
Fidelia,  Libby,  Libby Fidelia,10049,1,0,58530,0,Production Technician I,2155,16-03-1981,Female,1,US Citizen,No,5,09-01-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,3,Fully Meets,5,5,0,29-01-2019,0,19
Fitzpatrick, Michael  J, Michael  J Fitzpatrick,10093,0,0,72609,1,Production Technician II,2143,01-10-1981,Male ,3,US Citizen,Yes,5,16-05-2011,24-06-2013,hours,2,Production       ,Amy Dunn,11,3,Fully Meets,4.76,5,0,05-04-2013,0,20
Foreman, Tanya, Tanya Foreman,10163,1,0,55965,1,Production Technician II,2170,08-11-1983,Female,1,US Citizen,No,5,04-04-2011,09-01-2013,career change,2,Production       ,Ketsia Liebig,19,3,Fully Meets,3.66,3,0,07-01-2012,0,6
Forrest, Alex, Alex Forrest,10305,1,0,70187,1,Area Sales Manager,2330,07-07-1975,Male ,1,US Citizen,No,5,29-09-2014,19-08-2018,Fatal attraction,1,Sales,Lynn Daneault,21,2,PIP,2,5,0,28-01-2019,4,7
Foss, Jason, Jason Foss,10015,0,0,178000,0,IT Director,1460,05-07-1980,Male ,3,US Citizen,No,2,15-04-2011,27-07-2024,N/A-StillEmployed,0,IT/IS,Jennifer Zamora,5,4,Exceeds,5,5,5,07-01-2019,0,15
Foster-Baker, Amy, Amy Foster-Baker,10080,1,0,99351,0,Sr. Accountant,2050,16-04-1979,Female,1,US Citizen,no,5,05-01-2009,27-07-2024,N/A-StillEmployed,0,Admin Offices,Board of Directors,9,7,Fully Meets,5,3,2,08-02-2019,0,3
Fraval, Maruk , Maruk  Fraval,10258,0,0,67251,0,Area Sales Manager,6050,28-08-1963,Male ,3,US Citizen,No,2,06-09-2011,27-07-2024,N/A-StillEmployed,0,Sales,Lynn Daneault,21,0,Fully Meets,4.3,3,0,27-01-2019,2,7
Galia, Lisa, Lisa Galia,10273,0,0,65707,0,IT Support,6040,06-07-1968,Female,3,US Citizen,No,5,01-05-2010,27-07-2024,N/A-StillEmployed,0,IT/IS,Eric Dougall,6,5,Fully Meets,4.7,4,5,01-02-2019,0,1
Garcia, Raul, Raul Garcia,10111,0,0,52249,0,Production Technician I,1905,15-09-1985,Male ,3,US Citizen,Yes,5,30-03-2015,27-07-2024,N/A-StillEmployed,0,Production       ,David Stanley,14,2,Fully Meets,4.5,3,0,18-02-2019,0,5
Gaul, Barbara, Barbara Gaul,10257,0,0,53171,0,Production Technician I,2121,02-12-1983,Female,3,US Citizen,Yes,2,16-05-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,5,Fully Meets,4.2,4,0,26-02-2019,0,12
Gentry, Mildred, Mildred Gentry,10159,1,0,51337,0,Production Technician I,2145,01-10-1990,Female,1,US Citizen,No,2,30-03-2015,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,5,Fully Meets,3.73,3,0,16-01-2019,0,19
